          (   1,    2) (   1,    2) (   1,    5) (   1,    2) (   1,    0) (   1,    6) (   1,    1) (   1,    5) (   1,    1) (   1,    0)
          (   1,    0) (   1,    0) (   3,    0) (   1,    1) (   1,    1) (   1,    1) (   1,    2) (   1,    1) (   1,    4) (   1,    0)
          (   1,    0) (   1,    3) (   1,    4) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   4,    0) (   1,    1) (   1,    1)
         
node   1 sent_total    887  recv_total    876

node   2  (   1,    0) (   0,    0) (   4,    2) (   4,    3) (   4,    3) (   4,    1) (   2,    6) (   2,    0) (   2,    8) (   2,    0)
          (   2,    0) (   2,    1) (   2,    0) (   2,    1) (   2,    1) (   2,    8) (   2,    1) (   2,    0) (   2,    8) (   2,    0)
          (   2,    0) (   2,    0) (   2,    1) (   2,    8) (   2,    0) (   2,    0) (   2,    1) (   2,    1) (   2,    0) (   2,    1)
          (   2,    0) (   2,    7) (   2,    0) (   2,    9) (   2,    1) (   2,    1) (   2,    0) (   2,    1) (   2,    9) (   2,    0)
          (   2,    8) (   2,    1) (   2,    1) (   2,    1) (   2,    0) (   2,    1) (   2,    0) (   2,    8) (   2,    8) (   2,    2)
          (   2,    2) (   2,    0) (   2,    0) (   1,    0) (   1,    1) (   2,    1) (   1,    1) (   1,    3) (   1,    1) (   2,    1)
          (   2,    1) (   2,    7) (   2,    0) (   2,    7) (   2,    1) (   2,    1) (   2,    0) (   2,    1) (   1,    0) (   1,    0)
          (   1,    0) (   1,    7) (   2,    0) (   1,    0) (   2,    0) (   2,    1) (   2,    4) (   2,    1) (   2,    0) (   2,    6)
          (   2,    1) (   2,    1) (   2,    0) (   2,    1) (   1,    8) (   2,    1) (   2,    7) (   1,    1) (   1,    1) (   2,    0)
          (   2,    0) (   2,    1) (   0,    0) (   0,    1) (   2,    7) (   2,    7) (   2,    1) (   2,    1) (   2,    1) (   2,    7)
          (   2,    8) (   2,    1) (   2,    7) (   2,    0) (   2,    0) (   2,    0) (   2,    1) (   1,    0) (   1,    0) (   1,    3)
          (   0,    0) (   1,    4) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   2,    0) (   2,    1) (   1,    1) (   1,    3)
          (   1,    2) (   1,    2) (   1,    1) (   1,    0) (   0,    1) (   1,    1) (   1,    0) (   1,    6) (   1,    0) (   1,    4)
          (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    3) (   1,    1) (   0,    0) (   1,    0) (   0,    0)
          (   1,    1) (   1,    0) (   1,    0) (   1,    4) (   1,    1) (   1,    0) (   1,    4) (   1,    0) (   1,    5) (   1,    0)
          (   1,    0) (   1,    1) (   1,    0) (   2,    0) (   2,    1) (   2,    1) (   1,    2) (   1,    0) (   1,    0) (   1,    5)
          (   1,    1) (   1,    5) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    0) (   1,    1)
          (   2,    1) (   2,    2) (   1,    2) (   1,    1) (   1,    0) (   1,    6) (   0,    2) (   1,    2) (   1,    0) (   1,    1)
          (   3,    0) (   4,    0) (   2,    1) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    1)
          (   2,    1) (   0,    4) (   1,    0) (   1,    1) (   1,    4) (   1,    2) (   1,    1) (   1,    0) (   1,    0) (   1,    1)
          (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    2) (   1,    2) (   1,    1) (   1,    7) (   1,    1) (   1,    1)
          (   1,    1) (   0,    1) (   2,    0) (   3,    0) (   2,    1) (   0,    3) (   1,    1) (   1,    0) (   1,    0) (   1,    0)
          (   1,    1) (   1,    1) (   1,    0) (   1,    5) (   1,    2) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   2,    0)
          (   1,    1) (   1,    1) (   1,    3) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    5)
          (   1,    1) (   1,    2) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    0)
